îÑè„ID,å⁄ãqID,å_ñÒID,îÑè„ì˙,îÑè„
S-1000656,C-1000022,N-1002793,2021/1/2,80000
S-1000657,C-1000277,N-1001173,2021/1/2,9000
S-1000658,C-1000021,N-1001216,2021/1/2,13000
S-1000659,C-1000277,N-1001174,2021/1/2,9000
S-1000660,C-1000114,N-1000130,2021/1/2,13000
S-1000661,C-1000351,N-1001175,2021/1/2,30000
S-1000662,C-1001141,N-1002792,2021/1/2,10000
S-1000663,C-1000351,N-1001176,2021/1/2,30000
S-1000664,C-1000698,N-1001309,2021/1/2,80000
S-1000665,C-1000698,N-1001311,2021/1/2,30000
S-1000666,C-1000698,N-1001312,2021/1/2,80000
S-1000667,C-1000548,N-1000946,2021/1/2,50000
S-1000668,C-1000698,N-1001313,2021/1/2,30000
S-1000669,C-1000902,N-1002268,2021/1/2,80000
S-1000670,C-1000548,N-1000945,2021/1/2,50000
S-1000671,C-1000663,N-1001214,2021/1/2,9000
S-1000672,C-1000065,N-1000417,2021/1/2,21000
S-1000673,C-1000663,N-1001213,2021/1/2,9000
S-1000674,C-1000251,N-1000685,2021/1/2,50000
S-1000675,C-1001247,N-1003214,2021/1/2,80000
S-1000676,C-1000065,N-1000416,2021/1/2,21000
S-1000757,C-1000369,N-1001575,2021/1/2,21000
S-1000758,C-1000369,N-1001574,2021/1/2,21000
S-1000759,C-1000019,N-1000106,2021/1/2,21000
S-1000760,C-1000781,N-1002265,2021/1/2,50000
S-1000761,C-1000953,N-1002185,2021/1/2,50000
S-1000762,C-1001163,N-1002890,2021/1/2,30000
S-1000763,C-1000459,N-1000688,2021/1/2,80000
S-1000764,C-1001163,N-1002891,2021/1/2,30000
S-1000765,C-1000664,N-1001217,2021/1/2,29000
S-1000766,C-1000110,N-1001756,2021/1/2,80000
S-1000767,C-1000110,N-1001757,2021/1/2,80000
S-1000768,C-1000110,N-1001758,2021/1/2,80000
S-1000769,C-1000772,N-1001512,2021/1/2,30000
S-1000770,C-1000251,N-1000687,2021/1/2,50000
S-1000771,C-1000019,N-1000107,2021/1/2,21000
S-1000772,C-1000781,N-1002266,2021/1/2,50000
S-1000773,C-1000114,N-1000129,2021/1/2,13000
S-1000774,C-1000902,N-1002267,2021/1/2,80000
S-1000775,C-1001122,N-1002796,2021/1/2,80000
S-1000776,C-1001122,N-1002795,2021/1/2,80000
S-1000777,C-1000664,N-1001212,2021/1/2,29000
S-1000778,C-1000548,N-1003216,2021/1/2,50000
S-1000779,C-1001247,N-1003215,2021/1/2,80000
S-1000780,C-1000698,N-1001314,2021/1/2,80000
S-1000855,C-1000498,N-1001368,2021/1/2,10000
S-1000856,C-1000498,N-1001367,2021/1/2,10000
S-1000857,C-1000519,N-1000854,2021/1/2,80000
S-1000858,C-1000931,N-1002110,2021/1/2,50000
S-1000859,C-1000316,N-1000444,2021/1/2,30000
S-1000860,C-1000316,N-1000445,2021/1/2,30000
S-1000861,C-1000718,N-1001845,2021/1/2,21000
S-1000862,C-1000519,N-1000855,2021/1/2,80000
S-1000863,C-1000519,N-1000856,2021/1/2,80000
S-1000864,C-1000718,N-1001846,2021/1/2,21000
S-1000865,C-1000022,N-1000468,2021/1/2,80000
S-1000866,C-1000022,N-1000467,2021/1/2,80000
S-1000867,C-1000435,N-1000663,2021/1/2,9000
S-1000868,C-1001237,N-1003136,2021/1/2,13000
S-1000869,C-1001237,N-1003137,2021/1/2,13000
S-1000870,C-1000931,N-1002111,2021/1/2,50000
S-1000871,C-1000435,N-1000664,2021/1/2,9000
S-1000872,C-1000519,N-1000857,2021/1/2,80000
S-1000873,C-1000519,N-1002967,2021/1/2,80000
S-1000874,C-1000889,N-1001945,2021/1/2,13000
S-1000875,C-1001247,N-1003307,2021/1/2,80000
S-1000876,C-1000498,N-1002416,2021/1/2,10000
S-1000877,C-1000893,N-1001969,2021/1/2,50000
S-1000878,C-1000893,N-1001970,2021/1/2,50000
S-1000953,C-1000889,N-1001946,2021/1/2,13000
S-1000954,C-1000570,N-1001315,2021/1/2,30000
S-1000955,C-1000570,N-1001316,2021/1/2,30000
S-1000956,C-1000893,N-1001971,2021/1/2,50000
S-1000957,C-1000906,N-1002043,2021/1/3,30000
S-1000958,C-1000669,N-1001218,2021/1/3,6000
S-1000959,C-1000823,N-1001690,2021/1/3,15000
S-1000960,C-1000823,N-1001688,2021/1/3,15000
S-1000961,C-1000668,N-1001220,2021/1/3,50000
S-1000962,C-1000668,N-1001221,2021/1/3,50000
S-1000963,C-1000818,N-1003217,2021/1/3,15000
S-1000964,C-1000095,N-1003308,2021/1/3,10000
S-1000965,C-1000906,N-1002045,2021/1/3,30000
S-1000966,C-1000200,N-1001536,2021/1/3,13000
S-1000967,C-1000462,N-1001535,2021/1/3,13000
S-1000968,C-1000823,N-1001689,2021/1/3,15000
S-1000969,C-1000668,N-1001219,2021/1/3,50000
S-1000970,C-1000258,N-1001343,2021/1/3,50000
S-1000971,C-1000906,N-1002046,2021/1/3,30000
S-1000972,C-1000641,N-1001272,2021/1/3,15000
S-1000973,C-1001191,N-1002969,2021/1/3,29000
S-1000974,C-1001191,N-1002970,2021/1/3,29000
S-1000975,C-1000706,N-1001341,2021/1/3,15000
S-1000976,C-1001090,N-1002627,2021/1/3,13000
S-1001051,C-1001189,N-1002971,2021/1/3,21000
S-1001052,C-1001090,N-1002628,2021/1/3,13000
S-1001053,C-1000200,N-1001534,2021/1/3,13000
S-1001054,C-1000258,N-1001342,2021/1/3,50000
S-1001055,C-1001189,N-1002972,2021/1/3,21000
S-1001056,C-1001090,N-1002629,2021/1/3,13000
S-1001057,C-1000749,N-1002630,2021/1/3,13000
S-1001058,C-1000095,N-1002631,2021/1/3,10000
S-1001059,C-1001180,N-1002973,2021/1/3,30000
S-1001060,C-1000462,N-1001533,2021/1/3,13000
S-1001061,C-1001090,N-1002632,2021/1/3,13000
S-1001062,C-1000906,N-1002047,2021/1/3,30000
S-1001063,C-1000552,N-1002799,2021/1/3,80000
S-1001064,C-1000895,N-1001972,2021/1/3,50000
S-1001065,C-1001133,N-1002797,2021/1/3,21000
S-1001066,C-1001058,N-1002514,2021/1/3,13000
S-1001067,C-1001061,N-1002513,2021/1/3,30000
S-1001068,C-1000252,N-1000327,2021/1/3,30000
S-1001069,C-1000731,N-1001418,2021/1/3,80000
S-1001070,C-1000531,N-1001374,2021/1/3,50000
S-1001071,C-1000367,N-1001369,2021/1/3,21000
S-1001072,C-1000268,N-1001370,2021/1/3,29000
S-1001073,C-1000268,N-1001371,2021/1/3,29000
S-1001074,C-1000367,N-1001372,2021/1/3,21000
S-1001149,C-1000531,N-1001373,2021/1/3,50000
S-1001150,C-1000758,N-1001976,2021/1/3,30000
S-1001151,C-1000758,N-1001975,2021/1/3,30000
S-1001152,C-1000758,N-1003409,2021/1/3,30000
S-1001153,C-1000758,N-1001974,2021/1/3,30000
S-1001154,C-1000895,N-1001973,2021/1/3,50000
S-1001155,C-1001058,N-1002515,2021/1/3,13000
S-1001156,C-1001133,N-1002798,2021/1/3,21000
S-1001157,C-1000252,N-1000328,2021/1/3,30000
S-1001158,C-1000252,N-1000326,2021/1/3,30000
S-1001159,C-1000594,N-1002269,2021/1/3,13000
S-1001160,C-1000880,N-1001894,2021/1/3,9000
S-1001161,C-1001061,N-1002522,2021/1/3,30000
S-1001162,C-1001068,N-1002521,2021/1/3,6000
S-1001163,C-1000626,N-1001116,2021/1/3,6000
S-1001164,C-1000880,N-1001895,2021/1/3,9000
S-1001165,C-1001068,N-1002520,2021/1/3,6000
S-1001166,C-1001053,N-1002519,2021/1/3,50000
S-1001167,C-1001053,N-1002518,2021/1/3,50000
S-1001168,C-1000433,N-1001273,2021/1/3,15000
S-1001169,C-1000693,N-1002272,2021/1/3,6000
S-1001170,C-1000594,N-1002517,2021/1/3,13000
S-1001171,C-1000880,N-1002717,2021/1/3,9000
S-1001172,C-1000698,N-1002273,2021/1/3,30000
S-1001252,C-1000698,N-1002274,2021/1/3,30000
S-1001253,C-1000669,N-1002516,2021/1/3,15000
S-1001254,C-1000594,N-1002270,2021/1/3,13000
S-1001255,C-1000906,N-1002044,2021/1/3,30000
S-1001256,C-1000641,N-1001274,2021/1/3,15000
S-1001257,C-1001165,N-1002892,2021/1/3,10000
S-1001258,C-1000200,N-1002893,2021/1/3,21000
S-1001259,C-1000367,N-1002421,2021/1/3,21000
S-1001260,C-1000693,N-1002271,2021/1/3,6000
S-1001261,C-1000749,N-1002895,2021/1/3,13000
S-1001262,C-1001165,N-1002896,2021/1/3,10000
S-1001263,C-1001169,N-1002897,2021/1/3,30000
S-1001264,C-1000328,N-1000536,2021/1/3,30000
S-1001265,C-1000818,N-1001759,2021/1/3,21000
S-1001266,C-1000818,N-1001760,2021/1/3,21000
S-1001267,C-1000328,N-1000535,2021/1/3,30000
S-1001268,C-1000818,N-1001761,2021/1/3,21000
S-1001269,C-1000328,N-1000534,2021/1/3,30000
S-1001341,C-1001013,N-1002420,2021/1/3,30000
S-1001342,C-1000668,N-1003309,2021/1/3,6000
S-1001343,C-1000095,N-1000108,2021/1/3,10000
S-1001344,C-1000070,N-1000123,2021/1/3,30000
S-1001345,C-1001013,N-1002419,2021/1/3,30000
S-1001346,C-1001012,N-1002418,2021/1/3,10000
S-1001347,C-1000095,N-1000109,2021/1/3,10000
S-1001348,C-1001012,N-1002417,2021/1/3,10000
S-1001420,C-1000552,N-1000948,2021/1/3,80000
S-1001421,C-1000552,N-1000947,2021/1/3,80000
S-1001422,C-1000749,N-1001453,2021/1/3,13000
S-1001423,C-1000749,N-1001452,2021/1/3,13000
S-1001424,C-1001169,N-1002894,2021/1/3,30000
S-1001425,C-1000070,N-1000122,2021/1/3,30000
S-1001426,C-1000499,N-1000779,2021/1/3,6000
S-1001427,C-1000749,N-1001451,2021/1/3,13000
S-1001428,C-1000234,N-1000296,2021/1/3,50000
S-1001429,C-1000252,N-1003138,2021/1/3,30000
S-1001430,C-1000499,N-1000780,2021/1/3,6000
S-1001431,C-1001180,N-1003057,2021/1/3,30000
S-1001432,C-1000234,N-1000297,2021/1/3,80000
S-1001433,C-1000234,N-1000298,2021/1/3,80000
S-1001434,C-1000234,N-1000295,2021/1/3,50000
S-1001435,C-1000977,N-1003314,2021/1/4,10000
S-1001436,C-1000282,N-1001046,2021/1/4,10000
S-1001437,C-1000793,N-1001578,2021/1/4,80000
S-1001438,C-1000077,N-1000566,2021/1/4,21000
S-1001439,C-1000235,N-1003315,2021/1/4,6000
S-1001440,C-1000077,N-1000565,2021/1/4,21000
S-1001441,C-1000085,N-1001577,2021/1/4,15000
S-1001442,C-1000085,N-1001576,2021/1/4,15000
S-1001443,C-1000955,N-1002190,2021/1/4,30000
S-1001515,C-1000077,N-1000564,2021/1/4,21000
S-1001516,C-1001300,N-1003311,2021/1/4,30000
S-1001517,C-1000528,N-1002189,2021/1/4,30000
S-1001518,C-1000528,N-1002188,2021/1/4,30000
S-1001519,C-1001048,N-1002523,2021/1/4,15000
S-1001520,C-1000869,N-1001848,2021/1/4,30000
S-1001521,C-1000955,N-1002187,2021/1/4,30000
S-1001522,C-1000793,N-1001579,2021/1/4,80000
S-1001523,C-1000282,N-1001047,2021/1/4,10000
S-1001524,C-1000955,N-1002186,2021/1/4,30000
S-1001525,C-1000236,N-1000303,2021/1/4,30000
S-1001526,C-1000044,N-1000250,2021/1/4,10000
S-1001527,C-1000235,N-1000305,2021/1/4,13000
S-1001528,C-1001273,N-1003312,2021/1/4,13000
S-1001529,C-1000236,N-1000304,2021/1/4,80000
S-1001530,C-1001246,N-1003219,2021/1/4,9000
S-1001531,C-1000044,N-1000251,2021/1/4,10000
S-1001532,C-1000843,N-1001762,2021/1/4,13000
S-1001533,C-1000869,N-1003220,2021/1/4,30000
S-1001534,C-1000843,N-1001763,2021/1/4,13000
S-1001535,C-1001214,N-1003061,2021/1/4,9000
S-1001536,C-1000554,N-1000950,2021/1/4,10000
S-1001537,C-1000074,N-1000165,2021/1/4,30000
S-1001538,C-1000438,N-1000666,2021/1/4,15000
S-1001611,C-1000553,N-1000951,2021/1/4,10000
S-1001612,C-1000553,N-1000952,2021/1/4,10000
S-1001613,C-1000102,N-1002718,2021/1/4,13000
S-1001614,C-1000074,N-1000164,2021/1/4,30000
S-1001615,C-1000438,N-1000665,2021/1/4,15000
S-1001616,C-1001273,N-1003316,2021/1/4,13000
S-1001617,C-1001218,N-1003060,2021/1/4,13000
S-1001618,C-1001218,N-1003059,2021/1/4,13000
S-1001619,C-1000288,N-1000372,2021/1/4,15000
S-1001620,C-1001214,N-1003058,2021/1/4,9000
S-1001621,C-1000288,N-1000373,2021/1/4,15000
S-1001622,C-1000384,N-1001767,2021/1/4,9000
S-1001623,C-1000384,N-1001766,2021/1/4,9000
S-1001624,C-1000802,N-1001624,2021/1/4,50000
S-1001625,C-1000802,N-1001626,2021/1/4,50000
S-1001626,C-1001300,N-1003310,2021/1/4,30000
S-1001627,C-1000977,N-1002275,2021/1/4,10000
S-1001628,C-1000977,N-1002276,2021/1/4,10000
S-1001629,C-1000424,N-1001765,2021/1/4,29000
S-1001630,C-1000282,N-1001045,2021/1/4,10000
S-1001631,C-1000424,N-1001764,2021/1/4,29000
S-1001632,C-1001218,N-1003410,2021/1/4,13000
S-1001633,C-1000333,N-1000473,2021/1/4,21000
S-1001634,C-1000333,N-1000472,2021/1/4,21000
S-1001707,C-1000333,N-1000469,2021/1/4,80000
S-1001708,C-1000333,N-1000470,2021/1/4,80000
S-1001709,C-1000333,N-1000471,2021/1/4,80000
S-1001710,C-1000869,N-1001847,2021/1/4,30000
S-1001711,C-1001050,N-1002525,2021/1/4,30000
S-1001712,C-1000869,N-1002802,2021/1/4,6000
S-1001713,C-1000824,N-1001694,2021/1/4,30000
S-1001714,C-1001127,N-1002803,2021/1/4,13000
S-1001715,C-1001127,N-1002804,2021/1/4,13000
S-1001716,C-1000235,N-1000301,2021/1/4,13000
S-1001717,C-1000622,N-1001539,2021/1/4,30000
S-1001718,C-1000586,N-1001005,2021/1/4,21000
S-1001719,C-1000586,N-1001006,2021/1/4,21000
S-1001720,C-1000586,N-1001007,2021/1/4,21000
S-1001721,C-1000586,N-1001008,2021/1/4,21000
S-1001722,C-1000622,N-1001540,2021/1/4,30000
S-1001723,C-1000235,N-1000300,2021/1/4,13000
S-1001724,C-1000586,N-1001009,2021/1/4,21000
S-1001725,C-1001048,N-1002524,2021/1/4,15000
S-1001726,C-1000999,N-1002334,2021/1/4,30000
S-1001727,C-1000235,N-1002333,2021/1/4,13000
S-1001728,C-1000824,N-1001691,2021/1/4,30000
S-1001729,C-1000825,N-1001692,2021/1/4,30000
S-1001730,C-1000825,N-1001693,2021/1/4,30000
S-1001803,C-1000370,N-1000538,2021/1/4,9000
S-1001804,C-1000999,N-1002332,2021/1/4,30000
S-1001805,C-1001130,N-1002801,2021/1/4,9000
S-1001806,C-1000420,N-1000632,2021/1/4,15000
S-1001807,C-1000999,N-1002331,2021/1/4,30000
S-1001808,C-1000407,N-1001538,2021/1/4,21000
S-1001809,C-1001050,N-1002527,2021/1/4,30000
S-1001810,C-1000528,N-1002975,2021/1/4,30000
S-1001811,C-1000128,N-1000458,2021/1/4,80000
S-1001812,C-1001273,N-1003313,2021/1/4,13000
S-1001813,C-1000553,N-1002974,2021/1/4,29000
S-1001814,C-1000236,N-1000302,2021/1/4,80000
S-1001815,C-1000236,N-1000299,2021/1/4,30000
S-1001816,C-1001246,N-1003218,2021/1/4,9000
S-1001817,C-1000407,N-1001537,2021/1/4,21000
S-1001818,C-1000420,N-1000633,2021/1/4,15000
S-1001819,C-1000102,N-1000880,2021/1/4,13000
S-1001820,C-1000114,N-1000881,2021/1/4,80000
S-1001821,C-1000114,N-1000882,2021/1/4,80000
S-1001822,C-1000114,N-1000883,2021/1/4,80000
S-1001823,C-1001130,N-1002800,2021/1/4,9000
S-1001824,C-1000370,N-1000537,2021/1/4,9000
S-1001825,C-1000282,N-1002633,2021/1/4,10000
S-1001826,C-1001233,N-1003139,2021/1/5,80000
S-1001899,C-1000411,N-1000594,2021/1/5,10000
S-1001900,C-1000750,N-1001454,2021/1/5,80000
S-1001901,C-1000411,N-1000599,2021/1/5,10000
S-1001902,C-1000636,N-1001319,2021/1/5,10000
S-1001903,C-1000410,N-1000595,2021/1/5,15000
S-1001904,C-1000411,N-1000596,2021/1/5,10000
S-1001905,C-1000411,N-1000598,2021/1/5,10000
S-1001906,C-1000411,N-1000597,2021/1/5,10000
S-1001907,C-1000421,N-1000635,2021/1/5,6000
S-1001908,C-1000636,N-1001317,2021/1/5,10000
S-1001909,C-1000636,N-1001318,2021/1/5,10000
S-1001910,C-1000151,N-1002335,2021/1/5,30000
S-1001911,C-1000045,N-1000050,2021/1/5,30000
S-1001912,C-1001233,N-1003141,2021/1/5,80000
S-1001913,C-1000670,N-1001228,2021/1/5,21000
S-1001914,C-1000411,N-1000600,2021/1/5,10000
S-1001915,C-1000410,N-1000592,2021/1/5,15000
S-1001916,C-1001044,N-1002529,2021/1/5,9000
S-1001917,C-1000289,N-1003140,2021/1/5,13000
S-1001918,C-1001233,N-1003142,2021/1/5,80000
S-1001919,C-1000044,N-1000049,2021/1/5,15000
S-1001920,C-1000411,N-1000591,2021/1/5,10000
S-1001921,C-1000289,N-1000376,2021/1/5,13000
S-1001922,C-1000421,N-1000634,2021/1/5,6000
S-1001995,C-1001233,N-1003143,2021/1/5,80000
S-1001996,C-1000411,N-1000590,2021/1/5,10000
S-1001997,C-1000044,N-1000053,2021/1/5,15000
S-1001998,C-1000045,N-1000051,2021/1/5,30000
S-1001999,C-1000750,N-1001455,2021/1/5,80000
S-1002000,C-1001233,N-1003144,2021/1/5,80000
S-1002001,C-1000410,N-1000589,2021/1/5,15000
S-1002002,C-1000411,N-1000593,2021/1/5,10000
S-1002003,C-1000277,N-1001222,2021/1/5,30000
S-1002004,C-1000671,N-1001224,2021/1/5,50000
S-1002005,C-1000671,N-1001225,2021/1/5,50000
S-1002006,C-1000410,N-1003411,2021/1/5,15000
S-1002007,C-1000277,N-1001226,2021/1/5,30000
S-1002008,C-1000045,N-1000054,2021/1/5,9000
S-1002009,C-1000316,N-1002278,2021/1/5,80000
S-1002010,C-1000316,N-1002277,2021/1/5,80000
S-1002011,C-1000670,N-1001227,2021/1/5,21000
S-1002012,C-1000044,N-1000052,2021/1/5,15000
S-1002013,C-1000670,N-1001223,2021/1/5,21000
S-1002014,C-1000331,N-1001948,2021/1/5,29000
S-1002015,C-1000646,N-1001178,2021/1/5,21000
S-1002016,C-1000826,N-1001703,2021/1/5,30000
S-1002017,C-1000558,N-1000955,2021/1/5,15000
S-1002018,C-1000828,N-1001702,2021/1/5,6000
S-1002091,C-1000304,N-1000424,2021/1/5,50000
S-1002092,C-1000562,N-1000954,2021/1/5,13000
S-1002093,C-1000828,N-1001701,2021/1/5,6000
S-1002094,C-1000828,N-1001700,2021/1/5,6000
S-1002095,C-1000164,N-1000202,2021/1/5,30000
S-1002096,C-1000164,N-1000201,2021/1/5,30000
S-1002097,C-1000826,N-1001699,2021/1/5,30000
S-1002229,C-1000826,N-1001704,2021/1/5,30000
S-1002230,C-1000932,N-1002113,2021/1/5,30000
S-1002231,C-1000828,N-1001698,2021/1/5,6000
S-1002232,C-1000828,N-1001697,2021/1/5,6000
S-1002233,C-1001301,N-1003318,2021/1/5,13000
S-1002234,C-1000828,N-1001695,2021/1/5,6000
S-1002235,C-1000304,N-1000423,2021/1/5,50000
S-1002236,C-1000304,N-1000422,2021/1/5,50000
S-1002237,C-1000500,N-1000781,2021/1/5,21000
S-1002238,C-1000019,N-1002809,2021/1/5,80000
S-1002239,C-1000019,N-1002808,2021/1/5,10000
S-1002240,C-1001118,N-1002807,2021/1/5,80000
S-1002241,C-1000932,N-1002112,2021/1/5,30000
S-1002242,C-1001118,N-1002806,2021/1/5,80000
S-1002243,C-1000828,N-1001705,2021/1/5,6000
S-1002244,C-1000558,N-1000956,2021/1/5,15000
S-1002245,C-1000304,N-1000430,2021/1/5,50000
S-1002246,C-1001301,N-1003317,2021/1/5,13000
S-1002247,C-1000304,N-1000429,2021/1/5,50000
S-1002248,C-1001266,N-1003319,2021/1/5,15000
S-1002249,C-1000304,N-1000428,2021/1/5,50000
S-1002250,C-1000019,N-1000013,2021/1/5,80000
S-1002251,C-1000400,N-1001048,2021/1/5,9000
S-1002252,C-1000400,N-1001049,2021/1/5,9000
S-1002325,C-1000421,N-1003221,2021/1/5,10000
S-1002326,C-1000304,N-1000427,2021/1/5,50000
S-1002327,C-1000304,N-1000425,2021/1/5,50000
S-1002328,C-1000484,N-1000754,2021/1/5,80000
