îÑè„ID,å⁄ãqID,å_ñÒID,îÑè„ì˙,îÑè„
S-1125151,C-1000523,N-1002107,2022/1/1,21000
S-1125152,C-1000342,N-1001306,2022/1/1,9000
S-1125153,C-1000202,N-1001169,2022/1/1,80000
S-1125154,C-1000222,N-1000588,2022/1/1,50000
S-1125155,C-1000222,N-1002511,2022/1/1,50000
S-1125156,C-1001196,N-1003052,2022/1/1,21000
S-1125173,C-1001259,N-1003213,2022/1/1,13000
S-1125174,C-1000577,N-1003918,2022/1/1,30000
S-1125175,C-1001223,N-1003133,2022/1/1,30000
S-1125176,C-1000656,N-1003676,2022/1/1,30000
S-1125177,C-1000527,N-1002512,2022/1/1,9000
S-1125178,C-1000506,N-1001968,2022/1/1,80000
S-1125179,C-1000495,N-1001752,2022/1/1,13000
S-1125180,C-1000524,N-1002109,2022/1/1,80000
S-1125181,C-1000770,N-1001755,2022/1/1,13000
S-1125182,C-1000821,N-1003919,2022/1/1,50000
S-1125183,C-1001274,N-1003305,2022/1/1,50000
S-1125184,C-1000501,N-1003538,2022/1/1,80000
S-1125185,C-1000782,N-1001889,2022/1/1,50000
S-1125186,C-1000013,N-1001686,2022/1/1,50000
S-1125187,C-1000951,N-1003132,2022/1/1,30000
S-1125188,C-1000390,N-1003050,2022/1/1,29000
S-1125189,C-1000577,N-1001307,2022/1/1,30000
S-1125190,C-1001361,N-1003581,2022/1/1,13000
S-1125191,C-1000577,N-1001308,2022/1/1,30000
S-1125192,C-1000523,N-1002106,2022/1/1,21000
S-1125193,C-1001196,N-1003053,2022/1/1,21000
S-1125194,C-1001337,N-1003501,2022/1/1,9000
S-1125195,C-1000770,N-1002509,2022/1/1,13000
S-1125196,C-1001440,N-1003962,2022/1/1,13000
S-1125214,C-1000748,N-1002791,2022/1/1,9000
S-1125215,C-1001259,N-1003210,2022/1/1,13000
S-1125216,C-1000501,N-1001684,2022/1/1,80000
S-1125217,C-1001352,N-1003582,2022/1/1,10000
S-1125218,C-1000409,N-1002790,2022/1/1,50000
S-1125219,C-1000951,N-1002182,2022/1/1,30000
S-1125220,C-1000266,N-1000819,2022/1/1,80000
S-1125221,C-1000748,N-1002264,2022/1/1,9000
S-1125222,C-1000577,N-1001168,2022/1/1,80000
S-1125223,C-1000770,N-1001754,2022/1/1,13000
S-1125224,C-1000748,N-1002263,2022/1/1,9000
S-1125225,C-1001223,N-1003135,2022/1/1,30000
S-1125226,C-1000222,N-1000272,2022/1/1,9000
S-1125227,C-1000577,N-1001304,2022/1/1,30000
S-1125228,C-1000202,N-1001167,2022/1/1,80000
S-1125229,C-1000495,N-1001753,2022/1/1,13000
S-1125230,C-1000202,N-1003465,2022/1/1,80000
S-1125231,C-1000409,N-1000586,2022/1/1,50000
S-1125232,C-1000506,N-1001967,2022/1/1,80000
S-1125248,C-1000342,N-1001305,2022/1/1,9000
S-1125249,C-1001093,N-1003729,2022/1/1,30000
S-1125250,C-1001196,N-1003054,2022/1/1,21000
S-1125251,C-1000501,N-1001683,2022/1/1,80000
S-1125252,C-1000734,N-1001687,2022/1/1,29000
S-1125253,C-1000222,N-1000273,2022/1/1,6000
S-1125254,C-1000222,N-1002716,2022/1/1,6000
S-1125255,C-1001274,N-1003306,2022/1/1,50000
S-1125256,C-1000481,N-1000903,2022/1/1,80000
S-1125257,C-1000266,N-1000818,2022/1/1,80000
S-1125258,C-1001352,N-1003580,2022/1/1,10000
S-1125259,C-1000951,N-1002183,2022/1/1,30000
S-1125260,C-1000892,N-1001966,2022/1/1,29000
S-1125261,C-1001394,N-1003732,2022/1/2,30000
S-1125262,C-1001457,N-1003969,2022/1/2,21000
S-1125263,C-1000893,N-1001971,2022/1/2,50000
S-1125264,C-1001163,N-1002890,2022/1/2,30000
S-1125265,C-1000698,N-1001313,2022/1/2,30000
S-1125266,C-1001163,N-1002891,2022/1/2,30000
S-1125267,C-1001237,N-1003137,2022/1/2,13000
S-1125268,C-1000498,N-1002416,2022/1/2,10000
S-1125269,C-1000435,N-1000664,2022/1/2,9000
S-1125270,C-1000889,N-1001945,2022/1/2,13000
S-1125271,C-1001457,N-1003970,2022/1/2,21000
S-1125289,C-1000519,N-1000854,2022/1/2,80000
S-1125290,C-1000570,N-1001315,2022/1/2,30000
S-1125291,C-1000316,N-1000444,2022/1/2,30000
S-1125292,C-1001237,N-1003136,2022/1/2,13000
S-1125293,C-1000698,N-1001309,2022/1/2,80000
S-1125294,C-1000663,N-1003920,2022/1/2,30000
S-1125295,C-1000435,N-1003971,2022/1/2,9000
S-1125296,C-1001457,N-1003968,2022/1/2,21000
S-1125312,C-1001247,N-1003585,2022/1/2,80000
S-1125313,C-1000698,N-1001314,2022/1/2,80000
S-1125314,C-1000698,N-1001311,2022/1/2,30000
S-1125315,C-1000663,N-1001214,2022/1/2,9000
S-1125316,C-1001457,N-1003965,2022/1/2,21000
S-1125317,C-1000548,N-1000946,2022/1/2,50000
S-1125318,C-1000021,N-1001216,2022/1/2,13000
S-1125319,C-1001457,N-1003964,2022/1/2,21000
S-1125320,C-1000019,N-1000106,2022/1/2,21000
S-1125321,C-1001394,N-1003730,2022/1/2,30000
S-1125322,C-1000698,N-1001312,2022/1/2,80000
S-1125323,C-1000889,N-1003632,2022/1/2,13000
S-1125324,C-1000277,N-1001174,2022/1/2,9000
S-1125325,C-1000781,N-1002265,2022/1/2,50000
S-1125326,C-1000781,N-1002266,2022/1/2,50000
S-1125327,C-1000953,N-1002185,2022/1/2,50000
S-1125343,C-1000519,N-1000855,2022/1/2,80000
S-1125344,C-1000663,N-1001213,2022/1/2,9000
S-1125345,C-1001141,N-1003831,2022/1/2,15000
S-1125346,C-1000351,N-1001175,2022/1/2,30000
S-1125347,C-1001354,N-1003583,2022/1/2,30000
S-1125348,C-1001457,N-1003966,2022/1/2,21000
S-1125349,C-1000519,N-1000857,2022/1/2,80000
S-1125350,C-1001122,N-1003883,2022/1/2,50000
S-1125351,C-1000435,N-1000663,2022/1/2,9000
S-1125352,C-1000548,N-1003216,2022/1/2,50000
S-1125353,C-1001354,N-1003584,2022/1/2,30000
S-1125354,C-1000065,N-1000417,2022/1/2,21000
S-1125355,C-1000110,N-1001757,2022/1/2,80000
S-1125356,C-1001141,N-1002792,2022/1/2,10000
S-1125357,C-1000902,N-1002268,2022/1/2,80000
S-1125358,C-1000498,N-1001367,2022/1/2,10000
S-1125359,C-1000369,N-1001575,2022/1/2,21000
S-1125360,C-1001247,N-1003307,2022/1/2,80000
S-1125361,C-1000931,N-1002111,2022/1/2,50000
S-1125362,C-1000931,N-1002110,2022/1/2,50000
S-1125363,C-1000022,N-1000467,2022/1/2,80000
S-1125364,C-1001247,N-1003214,2022/1/2,80000
S-1125365,C-1000110,N-1001756,2022/1/2,80000
S-1125366,C-1000772,N-1001512,2022/1/2,30000
S-1125383,C-1000931,N-1003794,2022/1/2,50000
S-1125384,C-1001122,N-1002796,2022/1/2,80000
S-1125385,C-1000251,N-1000685,2022/1/2,50000
S-1125386,C-1000519,N-1000856,2022/1/2,80000
S-1125387,C-1000664,N-1001212,2022/1/2,29000
S-1125388,C-1000889,N-1001946,2022/1/2,13000
S-1125389,C-1000548,N-1000945,2022/1/2,50000
S-1125390,C-1001373,N-1003631,2022/1/2,10000
S-1125391,C-1000022,N-1002793,2022/1/2,80000
S-1125392,C-1000893,N-1001970,2022/1/2,50000
S-1125393,C-1000114,N-1003629,2022/1/2,21000
S-1125394,C-1000022,N-1000468,2022/1/2,80000
S-1125395,C-1000277,N-1001173,2022/1/2,9000
S-1125396,C-1001457,N-1003967,2022/1/2,21000
S-1125397,C-1000110,N-1001758,2022/1/2,80000
S-1125398,C-1001247,N-1003215,2022/1/2,80000
S-1125399,C-1000664,N-1001217,2022/1/2,29000
S-1125400,C-1000114,N-1000129,2022/1/2,13000
S-1125401,C-1000316,N-1000445,2022/1/2,30000
S-1125402,C-1000251,N-1000687,2022/1/2,50000
S-1125403,C-1001122,N-1002795,2022/1/2,80000
S-1125404,C-1000065,N-1000416,2022/1/2,21000
S-1125405,C-1000369,N-1001574,2022/1/2,21000
S-1125406,C-1000021,N-1001215,2022/1/2,13000
S-1125424,C-1000893,N-1001969,2022/1/2,50000
S-1125425,C-1000902,N-1002267,2022/1/2,80000
S-1125426,C-1001437,N-1003926,2022/1/3,21000
S-1125427,C-1001430,N-1003925,2022/1/3,50000
S-1125428,C-1001430,N-1003927,2022/1/3,50000
S-1125429,C-1001434,N-1003921,2022/1/3,30000
S-1125430,C-1000462,N-1001535,2022/1/3,13000
S-1125431,C-1000669,N-1001218,2022/1/3,6000
S-1125432,C-1000462,N-1001533,2022/1/3,13000
S-1125433,C-1001430,N-1003924,2022/1/3,50000
S-1125434,C-1000693,N-1002271,2022/1/3,6000
S-1125435,C-1000200,N-1003884,2022/1/3,13000
S-1125436,C-1000200,N-1001534,2022/1/3,13000
S-1125437,C-1000818,N-1003928,2022/1/3,21000
S-1125438,C-1000200,N-1001536,2022/1/3,13000
S-1125439,C-1001426,N-1003885,2022/1/3,30000
S-1125440,C-1000693,N-1002272,2022/1/3,6000
S-1125441,C-1001437,N-1003923,2022/1/3,21000
S-1125442,C-1000818,N-1003586,2022/1/3,21000
S-1125443,C-1000367,N-1002421,2022/1/3,21000
S-1125444,C-1000668,N-1003309,2022/1/3,6000
S-1125445,C-1000880,N-1001894,2022/1/3,9000
S-1125446,C-1001434,N-1003922,2022/1/3,30000
S-1125447,C-1001012,N-1002418,2022/1/3,10000
S-1125464,C-1000698,N-1002273,2022/1/3,30000
S-1125465,C-1000594,N-1002269,2022/1/3,13000
S-1125466,C-1000880,N-1001895,2022/1/3,9000
S-1125467,C-1001430,N-1003929,2022/1/3,50000
S-1125468,C-1000668,N-1001220,2022/1/3,50000
S-1125469,C-1001426,N-1003886,2022/1/3,30000
S-1125470,C-1000906,N-1003587,2022/1/3,30000
S-1125471,C-1001061,N-1003677,2022/1/3,30000
S-1125472,C-1000698,N-1002274,2022/1/3,30000
S-1125473,C-1000641,N-1001274,2022/1/3,15000
S-1125474,C-1000758,N-1001975,2022/1/3,30000
S-1125475,C-1001191,N-1002970,2022/1/3,29000
S-1125476,C-1000758,N-1001974,2022/1/3,30000
S-1125477,C-1000823,N-1001690,2022/1/3,15000
S-1125478,C-1000906,N-1002046,2022/1/3,30000
S-1125479,C-1000070,N-1000123,2022/1/3,30000
S-1125480,C-1000906,N-1002047,2022/1/3,30000
S-1125481,C-1000818,N-1003217,2022/1/3,15000
S-1125482,C-1000433,N-1001273,2022/1/3,15000
S-1125483,C-1001133,N-1002797,2022/1/3,21000
S-1125484,C-1000499,N-1000779,2022/1/3,6000
S-1125485,C-1000641,N-1001272,2022/1/3,15000
S-1125486,C-1000552,N-1002799,2022/1/3,80000
S-1125487,C-1000531,N-1001374,2022/1/3,50000
S-1125504,C-1000328,N-1000536,2022/1/3,30000
S-1125505,C-1000531,N-1001373,2022/1/3,50000
S-1125506,C-1001329,N-1003504,2022/1/3,50000
S-1125507,C-1000818,N-1001760,2022/1/3,21000
S-1125529,C-1000200,N-1003539,2022/1/3,13000
S-1125545,C-1000234,N-1000298,2022/1/3,80000
S-1125546,C-1000367,N-1001372,2022/1/3,21000
S-1125547,C-1000552,N-1000948,2022/1/3,80000
S-1125548,C-1000668,N-1001221,2022/1/3,50000
S-1125549,C-1001189,N-1002971,2022/1/3,21000
S-1125550,C-1001180,N-1003057,2022/1/3,30000
S-1125551,C-1000268,N-1001371,2022/1/3,29000
S-1125552,C-1000698,N-1003633,2022/1/3,30000
S-1125553,C-1000906,N-1002045,2022/1/3,30000
S-1125554,C-1000758,N-1003409,2022/1/3,30000
S-1125570,C-1000823,N-1001689,2022/1/3,15000
S-1125571,C-1000906,N-1002044,2022/1/3,30000
S-1125572,C-1000706,N-1001341,2022/1/3,15000
S-1125573,C-1000252,N-1000326,2022/1/3,30000
S-1125574,C-1001058,N-1002514,2022/1/3,13000
S-1125575,C-1000258,N-1001342,2022/1/3,50000
S-1125591,C-1001061,N-1002513,2022/1/3,30000
S-1125592,C-1001058,N-1002515,2022/1/3,13000
S-1125593,C-1000200,N-1002893,2022/1/3,21000
S-1125594,C-1000731,N-1001418,2022/1/3,80000
S-1125595,C-1000258,N-1001343,2022/1/3,50000
S-1125596,C-1000252,N-1003138,2022/1/3,30000
S-1125597,C-1000818,N-1001761,2022/1/3,21000
S-1125598,C-1000252,N-1000327,2022/1/3,30000
S-1125599,C-1001053,N-1002518,2022/1/3,50000
S-1125600,C-1000749,N-1002895,2022/1/3,13000
S-1125601,C-1001053,N-1002519,2022/1/3,50000
S-1125602,C-1000252,N-1000328,2022/1/3,30000
S-1125603,C-1001393,N-1003734,2022/1/3,80000
S-1125604,C-1001068,N-1002520,2022/1/3,6000
S-1125605,C-1001068,N-1002521,2022/1/3,6000
S-1125606,C-1000070,N-1000122,2022/1/3,30000
S-1125607,C-1001169,N-1002897,2022/1/3,30000
S-1125608,C-1001191,N-1002969,2022/1/3,29000
S-1125609,C-1000749,N-1003733,2022/1/3,13000
S-1125610,C-1001061,N-1002522,2022/1/3,30000
S-1125611,C-1000328,N-1000534,2022/1/3,30000
S-1125612,C-1000823,N-1001688,2022/1/3,15000
S-1125613,C-1000906,N-1002043,2022/1/3,30000
S-1125614,C-1000758,N-1001976,2022/1/3,30000
S-1125631,C-1000234,N-1000297,2022/1/3,80000
S-1125647,C-1000095,N-1000109,2022/1/3,10000
S-1125648,C-1001329,N-1003505,2022/1/3,50000
S-1125649,C-1000234,N-1000295,2022/1/3,50000
S-1125650,C-1000749,N-1001451,2022/1/3,13000
S-1125651,C-1000749,N-1001452,2022/1/3,13000
S-1125652,C-1000328,N-1000535,2022/1/3,30000
S-1125653,C-1000749,N-1002630,2022/1/3,13000
S-1125654,C-1001180,N-1002973,2022/1/3,30000
S-1125655,C-1000818,N-1001759,2022/1/3,21000
S-1125656,C-1001090,N-1002629,2022/1/3,13000
S-1125657,C-1000367,N-1001369,2022/1/3,21000
S-1125658,C-1000749,N-1001453,2022/1/3,13000
S-1125659,C-1000234,N-1000296,2022/1/3,50000
S-1125660,C-1000499,N-1003469,2022/1/3,6000
S-1125661,C-1001090,N-1002628,2022/1/3,13000
S-1125662,C-1001090,N-1002632,2022/1/3,13000
S-1125663,C-1000880,N-1002717,2022/1/3,9000
S-1125664,C-1000499,N-1000780,2022/1/3,6000
S-1125680,C-1001189,N-1002972,2022/1/3,21000
S-1125681,C-1000552,N-1000947,2022/1/3,80000
S-1125682,C-1001090,N-1002627,2022/1/3,13000
S-1125683,C-1000044,N-1003972,2022/1/4,10000
S-1125684,C-1001050,N-1002525,2022/1/4,30000
S-1125685,C-1000528,N-1002975,2022/1/4,30000
S-1125701,C-1000236,N-1000302,2022/1/4,80000
S-1125702,C-1001273,N-1003312,2022/1/4,13000
S-1125703,C-1000085,N-1001577,2022/1/4,15000
S-1125704,C-1000553,N-1000952,2022/1/4,10000
S-1125705,C-1000288,N-1000373,2022/1/4,15000
S-1125706,C-1000586,N-1001007,2022/1/4,21000
S-1125707,C-1001246,N-1003218,2022/1/4,9000
S-1125708,C-1000825,N-1001692,2022/1/4,30000
S-1125709,C-1000586,N-1001008,2022/1/4,21000
S-1125710,C-1001300,N-1003310,2022/1/4,30000
S-1125711,C-1000824,N-1001691,2022/1/4,30000
S-1125712,C-1000235,N-1000301,2022/1/4,13000
S-1125713,C-1000333,N-1000473,2022/1/4,21000
S-1125714,C-1000114,N-1000883,2022/1/4,80000
S-1125715,C-1001130,N-1003678,2022/1/4,30000
S-1125716,C-1000999,N-1003506,2022/1/4,30000
S-1125717,C-1000869,N-1001847,2022/1/4,30000
S-1125718,C-1000793,N-1001578,2022/1/4,80000
S-1125719,C-1000554,N-1000950,2022/1/4,10000
S-1125720,C-1000235,N-1000300,2022/1/4,13000
S-1125721,C-1000869,N-1001848,2022/1/4,30000
S-1125722,C-1000333,N-1000469,2022/1/4,80000
S-1125738,C-1000869,N-1003220,2022/1/4,30000
S-1125739,C-1000077,N-1000564,2022/1/4,21000
S-1125740,C-1001048,N-1002524,2022/1/4,15000
S-1125741,C-1000044,N-1000251,2022/1/4,10000
S-1125742,C-1000622,N-1001540,2022/1/4,30000
S-1125743,C-1000528,N-1002188,2022/1/4,30000
S-1125744,C-1000977,N-1002275,2022/1/4,10000
S-1125760,C-1000235,N-1003315,2022/1/4,6000
S-1125761,C-1000553,N-1000951,2022/1/4,10000
S-1125762,C-1000384,N-1003679,2022/1/4,9000
S-1125763,C-1000235,N-1002333,2022/1/4,13000
S-1125764,C-1000384,N-1001766,2022/1/4,9000
S-1125765,C-1001048,N-1003588,2022/1/4,15000
S-1125766,C-1000528,N-1002189,2022/1/4,30000
S-1125767,C-1000999,N-1002334,2022/1/4,30000
S-1125768,C-1000044,N-1000250,2022/1/4,10000
S-1125769,C-1001214,N-1003058,2022/1/4,9000
S-1125770,C-1000438,N-1000666,2022/1/4,15000
S-1125771,C-1000424,N-1001764,2022/1/4,29000
S-1125772,C-1000235,N-1000305,2022/1/4,13000
S-1125773,C-1000586,N-1001006,2022/1/4,21000
S-1125774,C-1000420,N-1000633,2022/1/4,15000
S-1125775,C-1000977,N-1002276,2022/1/4,10000
S-1125776,C-1000793,N-1001579,2022/1/4,80000
S-1125777,C-1000282,N-1002633,2022/1/4,10000
S-1125778,C-1001048,N-1002523,2022/1/4,15000
S-1125779,C-1000128,N-1000458,2022/1/4,80000
S-1125780,C-1000999,N-1002332,2022/1/4,30000
S-1125781,C-1000236,N-1000303,2022/1/4,30000
S-1125782,C-1000102,N-1002718,2022/1/4,13000
S-1125783,C-1000074,N-1000165,2022/1/4,30000
S-1125802,C-1000586,N-1001005,2022/1/4,21000
S-1125803,C-1001273,N-1003316,2022/1/4,13000
S-1125804,C-1000077,N-1000566,2022/1/4,21000
S-1125805,C-1000955,N-1002187,2022/1/4,30000
S-1125806,C-1000999,N-1002331,2022/1/4,30000
S-1125807,C-1000236,N-1000299,2022/1/4,30000
S-1125808,C-1000622,N-1001539,2022/1/4,30000
S-1125809,C-1000825,N-1001693,2022/1/4,30000
S-1125810,C-1000384,N-1001767,2022/1/4,9000
S-1125811,C-1000869,N-1002802,2022/1/4,6000
S-1125812,C-1000553,N-1002974,2022/1/4,29000
S-1125813,C-1000114,N-1000881,2022/1/4,80000
S-1125814,C-1001300,N-1003680,2022/1/4,13000
S-1125815,C-1001127,N-1002803,2022/1/4,13000
S-1125816,C-1000333,N-1000471,2022/1/4,80000
S-1125817,C-1000370,N-1000538,2022/1/4,9000
S-1125818,C-1000114,N-1000882,2022/1/4,80000
S-1125819,C-1000586,N-1001009,2022/1/4,21000
S-1125820,C-1001218,N-1003060,2022/1/4,13000
S-1125821,C-1000282,N-1001047,2022/1/4,10000
S-1125822,C-1000288,N-1000372,2022/1/4,15000
S-1125823,C-1000424,N-1001765,2022/1/4,29000
S-1125824,C-1001130,N-1002800,2022/1/4,9000
S-1125825,C-1000085,N-1001576,2022/1/4,15000
S-1125842,C-1001127,N-1002804,2022/1/4,13000
S-1125843,C-1000333,N-1000472,2022/1/4,21000
S-1125844,C-1001130,N-1002801,2022/1/4,9000
S-1125845,C-1001300,N-1003311,2022/1/4,30000
S-1125846,C-1000438,N-1000665,2022/1/4,15000
S-1125847,C-1000802,N-1001626,2022/1/4,50000
S-1125848,C-1000370,N-1003887,2022/1/4,9000
S-1125849,C-1000077,N-1000565,2022/1/4,21000
S-1125850,C-1000802,N-1001624,2022/1/4,50000
S-1125851,C-1000282,N-1001045,2022/1/4,10000
S-1125852,C-1000333,N-1000470,2022/1/4,80000
S-1125853,C-1000019,N-1000014,2022/1/5,80000
S-1125868,C-1000410,N-1000595,2022/1/5,15000
S-1125869,C-1000670,N-1001223,2022/1/5,21000
S-1125870,C-1000828,N-1001697,2022/1/5,6000
S-1125871,C-1000277,N-1001226,2022/1/5,30000
S-1125872,C-1000304,N-1000430,2022/1/5,50000
S-1125873,C-1000400,N-1001048,2022/1/5,9000
S-1125874,C-1000411,N-1000600,2022/1/5,10000
S-1125875,C-1000411,N-1000590,2022/1/5,10000
S-1125876,C-1000421,N-1000634,2022/1/5,6000
S-1125877,C-1000828,N-1001702,2022/1/5,6000
S-1125878,C-1000828,N-1001701,2022/1/5,6000
S-1125879,C-1000421,N-1003221,2022/1/5,10000
S-1125880,C-1000304,N-1000418,2022/1/5,50000
S-1125881,C-1001233,N-1003144,2022/1/5,80000
S-1125882,C-1000828,N-1001700,2022/1/5,6000
S-1125883,C-1000304,N-1000424,2022/1/5,50000
S-1125884,C-1000411,N-1002977,2022/1/5,10000
S-1125885,C-1000019,N-1002809,2022/1/5,80000
S-1125886,C-1000019,N-1002808,2022/1/5,10000
S-1125887,C-1001452,N-1003974,2022/1/5,29000
S-1125888,C-1000520,N-1000858,2022/1/5,30000
S-1125889,C-1001381,N-1003681,2022/1/5,50000
S-1125890,C-1000164,N-1000201,2022/1/5,30000
S-1125905,C-1000520,N-1000865,2022/1/5,30000
S-1125906,C-1000304,N-1000423,2022/1/5,50000
S-1125907,C-1000331,N-1003832,2022/1/5,21000
S-1125908,C-1000045,N-1000054,2022/1/5,9000
S-1125909,C-1001391,N-1003736,2022/1/5,80000
S-1125910,C-1000411,N-1000596,2022/1/5,10000
S-1125911,C-1000636,N-1001317,2022/1/5,10000
S-1125912,C-1000045,N-1000050,2022/1/5,30000
S-1125913,C-1000826,N-1001703,2022/1/5,30000
S-1125914,C-1001233,N-1003139,2022/1/5,80000
S-1125915,C-1000750,N-1001455,2022/1/5,80000
S-1125916,C-1000289,N-1003140,2022/1/5,13000
S-1125917,C-1000151,N-1002335,2022/1/5,30000
S-1125918,C-1000304,N-1000431,2022/1/5,50000
S-1125919,C-1000410,N-1000592,2022/1/5,15000
S-1125920,C-1000304,N-1000419,2022/1/5,50000
S-1125921,C-1000750,N-1001454,2022/1/5,80000
S-1125922,C-1000956,N-1002191,2022/1/5,30000
S-1125923,C-1001233,N-1003143,2022/1/5,80000
S-1125924,C-1001233,N-1003142,2022/1/5,80000
S-1125925,C-1000828,N-1001698,2022/1/5,6000
S-1125926,C-1000484,N-1000754,2022/1/5,80000
S-1125927,C-1000562,N-1000957,2022/1/5,13000
S-1125928,C-1000636,N-1001319,2022/1/5,10000
S-1125946,C-1001452,N-1003973,2022/1/5,29000
S-1125947,C-1000151,N-1001627,2022/1/5,15000
S-1125948,C-1000044,N-1000053,2022/1/5,15000
S-1125949,C-1000484,N-1000755,2022/1/5,80000
S-1125950,C-1000520,N-1000859,2022/1/5,30000
S-1125951,C-1000304,N-1000426,2022/1/5,50000
S-1125952,C-1000558,N-1000956,2022/1/5,15000
S-1125953,C-1000520,N-1002976,2022/1/5,30000
S-1125968,C-1000558,N-1000961,2022/1/5,15000
S-1125969,C-1001301,N-1003318,2022/1/5,13000
S-1125970,C-1000932,N-1002112,2022/1/5,30000
S-1125971,C-1000671,N-1001224,2022/1/5,50000
S-1125972,C-1001381,N-1003682,2022/1/5,50000
S-1125973,C-1000520,N-1000861,2022/1/5,30000
S-1125974,C-1000829,N-1001706,2022/1/5,50000
S-1125975,C-1000304,N-1000429,2022/1/5,50000
S-1125976,C-1000304,N-1000428,2022/1/5,50000
S-1125977,C-1000304,N-1000421,2022/1/5,50000
S-1125978,C-1000828,N-1001705,2022/1/5,6000
S-1125979,C-1000558,N-1000959,2022/1/5,15000
S-1125980,C-1000289,N-1002899,2022/1/5,13000
S-1125981,C-1000044,N-1000052,2022/1/5,15000
S-1125982,C-1000289,N-1000376,2022/1/5,13000
S-1125983,C-1000520,N-1000860,2022/1/5,30000
S-1125984,C-1000411,N-1000594,2022/1/5,10000
S-1125985,C-1000045,N-1000055,2022/1/5,9000
S-1125986,C-1001321,N-1003471,2022/1/5,30000
S-1125987,C-1000520,N-1000864,2022/1/5,30000
S-1125988,C-1000411,N-1000593,2022/1/5,10000
S-1125989,C-1000881,N-1001897,2022/1/5,50000
S-1125990,C-1001301,N-1003317,2022/1/5,13000
S-1125991,C-1001338,N-1003509,2022/1/5,13000
S-1126006,C-1000277,N-1001222,2022/1/5,30000
S-1126007,C-1000520,N-1000862,2022/1/5,30000
S-1126008,C-1000410,N-1000589,2022/1/5,15000
S-1126009,C-1000562,N-1000954,2022/1/5,13000
S-1126010,C-1000316,N-1002277,2022/1/5,80000
S-1126011,C-1000411,N-1000591,2022/1/5,10000
S-1126012,C-1000304,N-1000427,2022/1/5,50000
S-1126013,C-1000881,N-1003507,2022/1/5,50000
S-1126014,C-1000826,N-1001699,2022/1/5,30000
S-1126029,C-1000331,N-1001948,2022/1/5,29000
S-1126030,C-1001391,N-1003735,2022/1/5,80000
S-1126031,C-1000044,N-1000049,2022/1/5,15000
S-1126032,C-1001321,N-1003470,2022/1/5,30000
S-1126033,C-1001118,N-1002806,2022/1/5,80000
S-1126034,C-1000331,N-1001947,2022/1/5,29000
S-1126035,C-1001118,N-1003888,2022/1/5,80000
S-1126036,C-1000558,N-1000955,2022/1/5,15000
